ithaID,phen_id,type,subtype,name
309,1,Thalassaemia,alpha,α0
310,1,Thalassaemia,alpha,α0
311,1,Thalassaemia,alpha,α0
312,1,Thalassaemia,alpha,α0
313,1,Thalassaemia,alpha,α0
314,1,Thalassaemia,alpha,α0
315,1,Thalassaemia,alpha,α0
316,1,Thalassaemia,alpha,α0
317,1,Thalassaemia,alpha,α0
318,1,Thalassaemia,alpha,α0
319,1,Thalassaemia,alpha,α0
320,1,Thalassaemia,alpha,α0
321,1,Thalassaemia,alpha,α0
322,1,Thalassaemia,alpha,α0
323,1,Thalassaemia,alpha,α0
324,1,Thalassaemia,alpha,α0
325,1,Thalassaemia,alpha,α0
326,1,Thalassaemia,alpha,α0
327,1,Thalassaemia,alpha,α0
328,1,Thalassaemia,alpha,α0
329,1,Thalassaemia,alpha,α0
330,1,Thalassaemia,alpha,α0
331,1,Thalassaemia,alpha,α0
332,1,Thalassaemia,alpha,α0
333,1,Thalassaemia,alpha,α0
334,1,Thalassaemia,alpha,α0
335,1,Thalassaemia,alpha,α0
336,1,Thalassaemia,alpha,α0
337,1,Thalassaemia,alpha,α0
338,1,Thalassaemia,alpha,α0
339,1,Thalassaemia,alpha,α0
345,1,Thalassaemia,alpha,α0
348,1,Thalassaemia,alpha,α0
400,1,Thalassaemia,alpha,α0
410,1,Thalassaemia,alpha,α0
2236,1,Thalassaemia,alpha,α0
2237,1,Thalassaemia,alpha,α0
2238,1,Thalassaemia,alpha,α0
2239,1,Thalassaemia,alpha,α0
2240,1,Thalassaemia,alpha,α0
2241,1,Thalassaemia,alpha,α0
2242,1,Thalassaemia,alpha,α0
2243,1,Thalassaemia,alpha,α0
2244,1,Thalassaemia,alpha,α0
2245,1,Thalassaemia,alpha,α0
2246,1,Thalassaemia,alpha,α0
2247,1,Thalassaemia,alpha,α0
2248,1,Thalassaemia,alpha,α0
2249,1,Thalassaemia,alpha,α0
2250,1,Thalassaemia,alpha,α0
2251,1,Thalassaemia,alpha,α0
2252,1,Thalassaemia,alpha,α0
2253,1,Thalassaemia,alpha,α0
2254,1,Thalassaemia,alpha,α0
2255,1,Thalassaemia,alpha,α0
2256,1,Thalassaemia,alpha,α0
2257,1,Thalassaemia,alpha,α0
2258,1,Thalassaemia,alpha,α0
2259,1,Thalassaemia,alpha,α0
2260,1,Thalassaemia,alpha,α0
2261,1,Thalassaemia,alpha,α0
2262,1,Thalassaemia,alpha,α0
2263,1,Thalassaemia,alpha,α0
2264,1,Thalassaemia,alpha,α0
2265,1,Thalassaemia,alpha,α0
2266,1,Thalassaemia,alpha,α0
2267,1,Thalassaemia,alpha,α0
2268,1,Thalassaemia,alpha,α0
2269,1,Thalassaemia,alpha,α0
2270,1,Thalassaemia,alpha,α0
2271,1,Thalassaemia,alpha,α0
2272,1,Thalassaemia,alpha,α0
2273,1,Thalassaemia,alpha,α0
2562,1,Thalassaemia,alpha,α0
3018,1,Thalassaemia,alpha,α0
3020,1,Thalassaemia,alpha,α0
3021,1,Thalassaemia,alpha,α0
3022,1,Thalassaemia,alpha,α0
3067,1,Thalassaemia,alpha,α0
3068,1,Thalassaemia,alpha,α0
3071,1,Thalassaemia,alpha,α0
3074,1,Thalassaemia,alpha,α0
3214,1,Thalassaemia,alpha,α0
3215,1,Thalassaemia,alpha,α0
3244,1,Thalassaemia,alpha,α0
3255,1,Thalassaemia,alpha,α0
3258,1,Thalassaemia,alpha,α0
3273,1,Thalassaemia,alpha,α0
3274,1,Thalassaemia,alpha,α0
3275,1,Thalassaemia,alpha,α0
3283,1,Thalassaemia,alpha,α0
3284,1,Thalassaemia,alpha,α0
3292,1,Thalassaemia,alpha,α0
3293,1,Thalassaemia,alpha,α0
3294,1,Thalassaemia,alpha,α0
3295,1,Thalassaemia,alpha,α0
3296,1,Thalassaemia,alpha,α0
3327,1,Thalassaemia,alpha,α0
3360,1,Thalassaemia,alpha,α0
3407,1,Thalassaemia,alpha,α0
3408,1,Thalassaemia,alpha,α0
3514,1,Thalassaemia,alpha,α0
3588,1,Thalassaemia,alpha,α0
3595,1,Thalassaemia,alpha,α0
3607,1,Thalassaemia,alpha,α0
3622,1,Thalassaemia,alpha,α0
3663,1,Thalassaemia,alpha,α0
3711,1,Thalassaemia,alpha,α0
3821,1,Thalassaemia,alpha,α0
3822,1,Thalassaemia,alpha,α0
3889,1,Thalassaemia,alpha,α0
3915,1,Thalassaemia,alpha,α0
300,2,Thalassaemia,alpha,α⁺
301,2,Thalassaemia,alpha,α⁺
302,2,Thalassaemia,alpha,α⁺
303,2,Thalassaemia,alpha,α⁺
304,2,Thalassaemia,alpha,α⁺
305,2,Thalassaemia,alpha,α⁺
306,2,Thalassaemia,alpha,α⁺
307,2,Thalassaemia,alpha,α⁺
340,2,Thalassaemia,alpha,α⁺
341,2,Thalassaemia,alpha,α⁺
342,2,Thalassaemia,alpha,α⁺
343,2,Thalassaemia,alpha,α⁺
344,2,Thalassaemia,alpha,α⁺
347,2,Thalassaemia,alpha,α⁺
349,2,Thalassaemia,alpha,α⁺
350,2,Thalassaemia,alpha,α⁺
351,2,Thalassaemia,alpha,α⁺
352,2,Thalassaemia,alpha,α⁺
353,2,Thalassaemia,alpha,α⁺
354,2,Thalassaemia,alpha,α⁺
355,2,Thalassaemia,alpha,α⁺
356,2,Thalassaemia,alpha,α⁺
358,2,Thalassaemia,alpha,α⁺
359,2,Thalassaemia,alpha,α⁺
360,2,Thalassaemia,alpha,α⁺
361,2,Thalassaemia,alpha,α⁺
362,2,Thalassaemia,alpha,α⁺
363,2,Thalassaemia,alpha,α⁺
364,2,Thalassaemia,alpha,α⁺
365,2,Thalassaemia,alpha,α⁺
368,2,Thalassaemia,alpha,α⁺
371,2,Thalassaemia,alpha,α⁺
372,2,Thalassaemia,alpha,α⁺
373,2,Thalassaemia,alpha,α⁺
374,2,Thalassaemia,alpha,α⁺
375,2,Thalassaemia,alpha,α⁺
376,2,Thalassaemia,alpha,α⁺
378,2,Thalassaemia,alpha,α⁺
379,2,Thalassaemia,alpha,α⁺
381,2,Thalassaemia,alpha,α⁺
382,2,Thalassaemia,alpha,α⁺
383,2,Thalassaemia,alpha,α⁺
385,2,Thalassaemia,alpha,α⁺
386,2,Thalassaemia,alpha,α⁺
387,2,Thalassaemia,alpha,α⁺
388,2,Thalassaemia,alpha,α⁺
389,2,Thalassaemia,alpha,α⁺
392,2,Thalassaemia,alpha,α⁺
393,2,Thalassaemia,alpha,α⁺
394,2,Thalassaemia,alpha,α⁺
395,2,Thalassaemia,alpha,α⁺
396,2,Thalassaemia,alpha,α⁺
397,2,Thalassaemia,alpha,α⁺
399,2,Thalassaemia,alpha,α⁺
401,2,Thalassaemia,alpha,α⁺
402,2,Thalassaemia,alpha,α⁺
405,2,Thalassaemia,alpha,α⁺
406,2,Thalassaemia,alpha,α⁺
407,2,Thalassaemia,alpha,α⁺
408,2,Thalassaemia,alpha,α⁺
409,2,Thalassaemia,alpha,α⁺
411,2,Thalassaemia,alpha,α⁺
412,2,Thalassaemia,alpha,α⁺
413,2,Thalassaemia,alpha,α⁺
414,2,Thalassaemia,alpha,α⁺
415,2,Thalassaemia,alpha,α⁺
416,2,Thalassaemia,alpha,α⁺
417,2,Thalassaemia,alpha,α⁺
418,2,Thalassaemia,alpha,α⁺
419,2,Thalassaemia,alpha,α⁺
420,2,Thalassaemia,alpha,α⁺
421,2,Thalassaemia,alpha,α⁺
422,2,Thalassaemia,alpha,α⁺
490,2,Thalassaemia,alpha,α⁺
611,2,Thalassaemia,alpha,α⁺
724,2,Thalassaemia,alpha,α⁺
2023,2,Thalassaemia,alpha,α⁺
2203,2,Thalassaemia,alpha,α⁺
2204,2,Thalassaemia,alpha,α⁺
2205,2,Thalassaemia,alpha,α⁺
2206,2,Thalassaemia,alpha,α⁺
2207,2,Thalassaemia,alpha,α⁺
2208,2,Thalassaemia,alpha,α⁺
