tool,th,th_class
SIFT_score,0.05,below
SIFT_score,0.1,below
SIFT_score,0.15000000000000002,below
SIFT_score,0.2,below
SIFT_score,0.25,below
SIFT_score,0.3,below
SIFT_score,0.35000000000000003,below
SIFT_score,0.4,below
SIFT_score,0.45,below
SIFT_score,0.5,below
SIFT_score,0.55,below
SIFT_score,0.6000000000000001,below
SIFT_score,0.6500000000000001,below
SIFT_score,0.7000000000000001,below
SIFT_score,0.7500000000000001,below
SIFT_score,0.8,below
SIFT_score,0.8500000000000001,below
SIFT_score,0.9000000000000001,below
SIFT_score,0.95,below
integrated_fitCons_score,0.05,above
integrated_fitCons_score,0.1,above
integrated_fitCons_score,0.15000000000000002,above
integrated_fitCons_score,0.2,above
integrated_fitCons_score,0.25,above
integrated_fitCons_score,0.3,above
integrated_fitCons_score,0.35000000000000003,above
integrated_fitCons_score,0.4,above
integrated_fitCons_score,0.45,above
integrated_fitCons_score,0.5,above
integrated_fitCons_score,0.55,above
integrated_fitCons_score,0.6000000000000001,above
integrated_fitCons_score,0.6500000000000001,above
integrated_fitCons_score,0.7000000000000001,above
integrated_fitCons_score,0.7500000000000001,above
integrated_fitCons_score,0.8,above
integrated_fitCons_score,0.8500000000000001,above
integrated_fitCons_score,0.9000000000000001,above
integrated_fitCons_score,0.95,above
MutationTaster_score,0.05,above
MutationTaster_score,0.1,above
MutationTaster_score,0.15000000000000002,above
MutationTaster_score,0.2,above
MutationTaster_score,0.25,above
MutationTaster_score,0.3,above
MutationTaster_score,0.35000000000000003,above
MutationTaster_score,0.4,above
MutationTaster_score,0.45,above
MutationTaster_score,0.5,above
MutationTaster_score,0.55,above
MutationTaster_score,0.6000000000000001,above
MutationTaster_score,0.6500000000000001,above
MutationTaster_score,0.7000000000000001,above
MutationTaster_score,0.7500000000000001,above
MutationTaster_score,0.8,above
MutationTaster_score,0.8500000000000001,above
MutationTaster_score,0.9000000000000001,above
MutationTaster_score,0.95,above
LRT_score,0.05,below
LRT_score,0.1,below
LRT_score,0.15000000000000002,below
LRT_score,0.2,below
LRT_score,0.25,below
LRT_score,0.3,below
LRT_score,0.35000000000000003,below
LRT_score,0.4,below
LRT_score,0.45,below
LRT_score,0.5,below
LRT_score,0.55,below
LRT_score,0.6000000000000001,below
LRT_score,0.6500000000000001,below
LRT_score,0.7000000000000001,below
LRT_score,0.7500000000000001,below
LRT_score,0.8,below
LRT_score,0.8500000000000001,below
LRT_score,0.9000000000000001,below
LRT_score,0.95,below
LRT_score,0.01,below
PolyPhen_score,0.05,above
PolyPhen_score,0.1,above
PolyPhen_score,0.15000000000000002,above
PolyPhen_score,0.2,above
PolyPhen_score,0.25,above
PolyPhen_score,0.3,above
PolyPhen_score,0.35000000000000003,above
PolyPhen_score,0.4,above
PolyPhen_score,0.45,above
PolyPhen_score,0.5,above
PolyPhen_score,0.55,above
PolyPhen_score,0.6000000000000001,above
PolyPhen_score,0.6500000000000001,above
PolyPhen_score,0.7000000000000001,above
PolyPhen_score,0.7500000000000001,above
PolyPhen_score,0.8,above
PolyPhen_score,0.8500000000000001,above
PolyPhen_score,0.9000000000000001,above
PolyPhen_score,0.95,above
PolyPhen_score,0.447,above
ClinPred_score,0.05,above
ClinPred_score,0.1,above
ClinPred_score,0.15000000000000002,above
ClinPred_score,0.2,above
ClinPred_score,0.25,above
ClinPred_score,0.3,above
ClinPred_score,0.35000000000000003,above
ClinPred_score,0.4,above
ClinPred_score,0.45,above
ClinPred_score,0.5,above
ClinPred_score,0.55,above
ClinPred_score,0.6000000000000001,above
ClinPred_score,0.6500000000000001,above
ClinPred_score,0.7000000000000001,above
ClinPred_score,0.7500000000000001,above
ClinPred_score,0.8,above
ClinPred_score,0.8500000000000001,above
ClinPred_score,0.9000000000000001,above
ClinPred_score,0.95,above
DANN_score,0.05,above
DANN_score,0.1,above
DANN_score,0.15000000000000002,above
DANN_score,0.2,above
DANN_score,0.25,above
DANN_score,0.3,above
DANN_score,0.35000000000000003,above
DANN_score,0.4,above
DANN_score,0.45,above
DANN_score,0.5,above
DANN_score,0.55,above
DANN_score,0.6000000000000001,above
DANN_score,0.6500000000000001,above
DANN_score,0.7000000000000001,above
DANN_score,0.7500000000000001,above
DANN_score,0.8,above
DANN_score,0.8500000000000001,above
DANN_score,0.9000000000000001,above
DANN_score,0.95,above
DANN_score,0.96,above
LIST-S2_score_seperated,0.05,above_closed
LIST-S2_score_seperated,0.1,above_closed
LIST-S2_score_seperated,0.15000000000000002,above_closed
LIST-S2_score_seperated,0.2,above_closed
LIST-S2_score_seperated,0.25,above_closed
LIST-S2_score_seperated,0.3,above_closed
LIST-S2_score_seperated,0.35000000000000003,above_closed
LIST-S2_score_seperated,0.4,above_closed
LIST-S2_score_seperated,0.45,above_closed
LIST-S2_score_seperated,0.5,above_closed
LIST-S2_score_seperated,0.55,above_closed
LIST-S2_score_seperated,0.6000000000000001,above_closed
LIST-S2_score_seperated,0.6500000000000001,above_closed
LIST-S2_score_seperated,0.7000000000000001,above_closed
LIST-S2_score_seperated,0.7500000000000001,above_closed
LIST-S2_score_seperated,0.8,above_closed
LIST-S2_score_seperated,0.8500000000000001,above_closed
LIST-S2_score_seperated,0.9000000000000001,above_closed
LIST-S2_score_seperated,0.95,above_closed
MetaSVM_score,0.05,above
MetaSVM_score,0.1,above
MetaSVM_score,0.15000000000000002,above
MetaSVM_score,0.2,above
MetaSVM_score,0.25,above
MetaSVM_score,0.3,above
