ithaID,hemo_id,type,name
300,1,Thalassaemia,α-thalassaemia
301,1,Thalassaemia,α-thalassaemia
302,1,Thalassaemia,α-thalassaemia
303,1,Thalassaemia,α-thalassaemia
304,1,Thalassaemia,α-thalassaemia
305,1,Thalassaemia,α-thalassaemia
306,1,Thalassaemia,α-thalassaemia
307,1,Thalassaemia,α-thalassaemia
309,1,Thalassaemia,α-thalassaemia
310,1,Thalassaemia,α-thalassaemia
311,1,Thalassaemia,α-thalassaemia
312,1,Thalassaemia,α-thalassaemia
313,1,Thalassaemia,α-thalassaemia
314,1,Thalassaemia,α-thalassaemia
315,1,Thalassaemia,α-thalassaemia
316,1,Thalassaemia,α-thalassaemia
317,1,Thalassaemia,α-thalassaemia
318,1,Thalassaemia,α-thalassaemia
319,1,Thalassaemia,α-thalassaemia
320,1,Thalassaemia,α-thalassaemia
321,1,Thalassaemia,α-thalassaemia
322,1,Thalassaemia,α-thalassaemia
323,1,Thalassaemia,α-thalassaemia
324,1,Thalassaemia,α-thalassaemia
325,1,Thalassaemia,α-thalassaemia
326,1,Thalassaemia,α-thalassaemia
327,1,Thalassaemia,α-thalassaemia
328,1,Thalassaemia,α-thalassaemia
329,1,Thalassaemia,α-thalassaemia
330,1,Thalassaemia,α-thalassaemia
331,1,Thalassaemia,α-thalassaemia
332,1,Thalassaemia,α-thalassaemia
333,1,Thalassaemia,α-thalassaemia
334,1,Thalassaemia,α-thalassaemia
335,1,Thalassaemia,α-thalassaemia
336,1,Thalassaemia,α-thalassaemia
337,1,Thalassaemia,α-thalassaemia
338,1,Thalassaemia,α-thalassaemia
339,1,Thalassaemia,α-thalassaemia
340,1,Thalassaemia,α-thalassaemia
341,1,Thalassaemia,α-thalassaemia
342,1,Thalassaemia,α-thalassaemia
343,1,Thalassaemia,α-thalassaemia
344,1,Thalassaemia,α-thalassaemia
345,1,Thalassaemia,α-thalassaemia
346,1,Thalassaemia,α-thalassaemia
347,1,Thalassaemia,α-thalassaemia
348,1,Thalassaemia,α-thalassaemia
349,1,Thalassaemia,α-thalassaemia
350,1,Thalassaemia,α-thalassaemia
351,1,Thalassaemia,α-thalassaemia
352,1,Thalassaemia,α-thalassaemia
353,1,Thalassaemia,α-thalassaemia
354,1,Thalassaemia,α-thalassaemia
355,1,Thalassaemia,α-thalassaemia
356,1,Thalassaemia,α-thalassaemia
357,1,Thalassaemia,α-thalassaemia
358,1,Thalassaemia,α-thalassaemia
359,1,Thalassaemia,α-thalassaemia
360,1,Thalassaemia,α-thalassaemia
361,1,Thalassaemia,α-thalassaemia
362,1,Thalassaemia,α-thalassaemia
363,1,Thalassaemia,α-thalassaemia
364,1,Thalassaemia,α-thalassaemia
365,1,Thalassaemia,α-thalassaemia
366,1,Thalassaemia,α-thalassaemia
367,1,Thalassaemia,α-thalassaemia
368,1,Thalassaemia,α-thalassaemia
369,1,Thalassaemia,α-thalassaemia
370,1,Thalassaemia,α-thalassaemia
371,1,Thalassaemia,α-thalassaemia
372,1,Thalassaemia,α-thalassaemia
373,1,Thalassaemia,α-thalassaemia
374,1,Thalassaemia,α-thalassaemia
375,1,Thalassaemia,α-thalassaemia
376,1,Thalassaemia,α-thalassaemia
377,1,Thalassaemia,α-thalassaemia
378,1,Thalassaemia,α-thalassaemia
379,1,Thalassaemia,α-thalassaemia
380,1,Thalassaemia,α-thalassaemia
381,1,Thalassaemia,α-thalassaemia
382,1,Thalassaemia,α-thalassaemia
383,1,Thalassaemia,α-thalassaemia
384,1,Thalassaemia,α-thalassaemia
385,1,Thalassaemia,α-thalassaemia
386,1,Thalassaemia,α-thalassaemia
387,1,Thalassaemia,α-thalassaemia
388,1,Thalassaemia,α-thalassaemia
389,1,Thalassaemia,α-thalassaemia
390,1,Thalassaemia,α-thalassaemia
391,1,Thalassaemia,α-thalassaemia
392,1,Thalassaemia,α-thalassaemia
393,1,Thalassaemia,α-thalassaemia
394,1,Thalassaemia,α-thalassaemia
395,1,Thalassaemia,α-thalassaemia
