ithaID,molmech_id,name
1071,1,"Altered 2,3-DPG binding site"
1072,1,"Altered 2,3-DPG binding site"
1073,1,"Altered 2,3-DPG binding site"
1074,1,"Altered 2,3-DPG binding site"
1075,1,"Altered 2,3-DPG binding site"
1076,1,"Altered 2,3-DPG binding site"
145,2,Altered heme pocket
146,2,Altered heme pocket
147,2,Altered heme pocket
171,2,Altered heme pocket
175,2,Altered heme pocket
194,2,Altered heme pocket
229,2,Altered heme pocket
230,2,Altered heme pocket
528,2,Altered heme pocket
529,2,Altered heme pocket
570,2,Altered heme pocket
571,2,Altered heme pocket
645,2,Altered heme pocket
646,2,Altered heme pocket
647,2,Altered heme pocket
648,2,Altered heme pocket
649,2,Altered heme pocket
942,2,Altered heme pocket
943,2,Altered heme pocket
944,2,Altered heme pocket
945,2,Altered heme pocket
947,2,Altered heme pocket
948,2,Altered heme pocket
949,2,Altered heme pocket
999,2,Altered heme pocket
1008,2,Altered heme pocket
1009,2,Altered heme pocket
1010,2,Altered heme pocket
1011,2,Altered heme pocket
1021,2,Altered heme pocket
1022,2,Altered heme pocket
1023,2,Altered heme pocket
1024,2,Altered heme pocket
1025,2,Altered heme pocket
1103,2,Altered heme pocket
1104,2,Altered heme pocket
1105,2,Altered heme pocket
1106,2,Altered heme pocket
1107,2,Altered heme pocket
1108,2,Altered heme pocket
1109,2,Altered heme pocket
1166,2,Altered heme pocket
1167,2,Altered heme pocket
2188,2,Altered heme pocket
2214,2,Altered heme pocket
2308,2,Altered heme pocket
2332,2,Altered heme pocket
2376,2,Altered heme pocket
2387,2,Altered heme pocket
2456,2,Altered heme pocket
2461,2,Altered heme pocket
2474,2,Altered heme pocket
2506,2,Altered heme pocket
2549,2,Altered heme pocket
2953,2,Altered heme pocket
2954,2,Altered heme pocket
2972,2,Altered heme pocket
3004,2,Altered heme pocket
3175,2,Altered heme pocket
3434,2,Altered heme pocket
1087,3,Altered interaction with HbS polymer
1088,3,Altered interaction with HbS polymer
1089,3,Altered interaction with HbS polymer
1090,3,Altered interaction with HbS polymer
3377,3,Altered interaction with HbS polymer
3556,4,Altered interface
56,5,Altered secondary structure
57,5,Altered secondary structure
59,5,Altered secondary structure
234,5,Altered secondary structure
237,5,Altered secondary structure
253,5,Altered secondary structure
356,5,Altered secondary structure
369,5,Altered secondary structure
384,5,Altered secondary structure
407,5,Altered secondary structure
408,5,Altered secondary structure
411,5,Altered secondary structure
412,5,Altered secondary structure
413,5,Altered secondary structure
414,5,Altered secondary structure
417,5,Altered secondary structure
436,5,Altered secondary structure
440,5,Altered secondary structure
462,5,Altered secondary structure
477,5,Altered secondary structure
481,5,Altered secondary structure
537,5,Altered secondary structure
547,5,Altered secondary structure
631,5,Altered secondary structure
635,5,Altered secondary structure
649,5,Altered secondary structure
655,5,Altered secondary structure
666,5,Altered secondary structure
670,5,Altered secondary structure
701,5,Altered secondary structure
734,5,Altered secondary structure
767,5,Altered secondary structure
768,5,Altered secondary structure
781,5,Altered secondary structure
796,5,Altered secondary structure
810,5,Altered secondary structure
811,5,Altered secondary structure
813,5,Altered secondary structure
814,5,Altered secondary structure
818,5,Altered secondary structure
822,5,Altered secondary structure
824,5,Altered secondary structure
825,5,Altered secondary structure
826,5,Altered secondary structure
827,5,Altered secondary structure
849,5,Altered secondary structure
901,5,Altered secondary structure
910,5,Altered secondary structure
912,5,Altered secondary structure
932,5,Altered secondary structure
967,5,Altered secondary structure
1006,5,Altered secondary structure
1010,5,Altered secondary structure
1026,5,Altered secondary structure
1027,5,Altered secondary structure
1028,5,Altered secondary structure
1029,5,Altered secondary structure
1033,5,Altered secondary structure
1050,5,Altered secondary structure
1051,5,Altered secondary structure
1053,5,Altered secondary structure
1084,5,Altered secondary structure
1088,5,Altered secondary structure
1093,5,Altered secondary structure
1101,5,Altered secondary structure
1123,5,Altered secondary structure
1129,5,Altered secondary structure
1166,5,Altered secondary structure
1192,5,Altered secondary structure
1197,5,Altered secondary structure
1205,5,Altered secondary structure
1244,5,Altered secondary structure
